
running 123 tests
[reader] read_next start: col=meta.critical.12, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.13, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.14, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.15, chain_len=0, idx=0, offset=0
[reader] read_next start: col=kv, chain_len=1, idx=1, offset=0
[reader] read_next: advance block col=kv, block_id=1, offset=304, used=304
[alloc] handout: block_id=1, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673696, offset=0, limit=10485760
[writer] wrote: col=kv, block_id=1, offset_before=0, bytes=152, offset_after=152
[writer] immediate fsync: col=kv, block_id=1
[alloc] handout: block_id=1, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673700, offset=0, limit=10485760
[writer] wrote: col=meta.critical.04, block_id=1, offset_before=0, bytes=380, offset_after=380
[writer] immediate fsync: col=meta.critical.04, block_id=1
[reader] read_next start: col=kv, chain_len=1, idx=1, offset=0
[reader] read_next: tail OK col=kv, block_id=1, consumed=152, new_tail_off=152
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673731, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 3
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673654
[reader] chain append(slow/new): col=kv, block_id=1, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673654, block_id=1, used=304, col=kv
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673696
[reader] chain append(fast): col=kv, block_id=2, chain_len 1->2
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673696, block_id=2, used=152, col=kv
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0/1762829673731
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673735, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 3
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673658
[reader] chain append(slow/new): col=meta.critical.04, block_id=1, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673658, block_id=1, used=380, col=meta.critical.04
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673700
[reader] chain append(fast): col=meta.critical.04, block_id=2, chain_len 1->2
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673700, block_id=2, used=380, col=meta.critical.04
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpP8e7jd/sql-crash-test-0-meta/1762829673735
[reader] read_next start: col=meta.critical.00, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.01, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.02, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.03, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.04, chain_len=2, idx=0, offset=380
[reader] read_next: advance block col=meta.critical.04, block_id=1, offset=380, used=380
[reader] read_next: OK col=meta.critical.04, block_id=2, consumed=380, new_offset=380
[reader] read_next start: col=meta.critical.04, chain_len=2, idx=1, offset=380
[reader] read_next: advance block col=meta.critical.04, block_id=2, offset=380, used=380
[reader] read_next start: col=meta.critical.05, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.06, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.07, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.08, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.09, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.10, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.11, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.12, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.13, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.14, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.15, chain_len=0, idx=0, offset=0
[reader] read_next start: col=kv, chain_len=2, idx=2, offset=0
[reader] read_next: OK col=kv, block_id=1, consumed=152, new_offset=304
[reader] read_next start: col=kv, chain_len=2, idx=0, offset=304
[reader] read_next: advance block col=kv, block_id=1, offset=304, used=304
[reader] read_next: OK col=kv, block_id=2, consumed=152, new_offset=152
[reader] read_next start: col=kv, chain_len=2, idx=1, offset=152
[reader] read_next: advance block col=kv, block_id=2, offset=152, used=152
writer: unable to flush rows for table kv - missing sort key

thread 'sql_crash_multiple_rounds_accumulate_rows' panicked at tests/sql_crash_recovery_tests.rs:262:9:
assertion `left == right` failed
  left: []
 right: [("k1", "v1"), ("k2", "v2b"), ("k3", "v3")]
note: run with `RUST_BACKTRACE=1` environment variable to display a backtrace

---- sql_crash_multi_table_state_is_preserved stdout ----
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 1
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 1
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755
[reader] read_next start: col=meta.critical.00, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.01, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.02, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.03, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.04, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.05, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.06, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.07, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.08, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.09, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.10, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.11, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.12, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.13, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.14, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.15, chain_len=0, idx=0, offset=0
[alloc] handout: block_id=1, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751, offset=0, limit=10485760
[writer] wrote: col=accounts, block_id=1, offset_before=0, bytes=160, offset_after=160
[writer] immediate fsync: col=accounts, block_id=1
[alloc] handout: block_id=1, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755, offset=0, limit=10485760
[writer] wrote: col=meta.critical.13, block_id=1, offset_before=0, bytes=388, offset_after=388
[writer] immediate fsync: col=meta.critical.13, block_id=1
writer: flushed 1 rows into table accounts
[reader] read_next start: col=accounts, chain_len=0, idx=0, offset=0
[reader] read_next: tail OK col=accounts, block_id=1, consumed=160, new_tail_off=160
[writer] wrote: col=accounts, block_id=1, offset_before=160, bytes=160, offset_after=320
[writer] immediate fsync: col=accounts, block_id=1
[writer] wrote: col=meta.critical.13, block_id=1, offset_before=388, bytes=388, offset_after=776
[writer] immediate fsync: col=meta.critical.13, block_id=1
[reader] read_next start: col=accounts, chain_len=0, idx=0, offset=0
[reader] read_next: tail OK col=accounts, block_id=1, consumed=160, new_tail_off=320
[alloc] handout: block_id=2, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751, offset=10485760, limit=10485760
[writer] wrote: col=audit, block_id=2, offset_before=0, bytes=160, offset_after=160
[writer] immediate fsync: col=audit, block_id=2
[writer] wrote: col=audit, block_id=2, offset_before=160, bytes=160, offset_after=320
[writer] immediate fsync: col=audit, block_id=2
[alloc] handout: block_id=2, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755, offset=10485760, limit=10485760
[writer] wrote: col=meta.critical.08, block_id=2, offset_before=0, bytes=396, offset_after=396
[writer] immediate fsync: col=meta.critical.08, block_id=2
writer: flushed 2 rows into table audit
[reader] read_next start: col=audit, chain_len=0, idx=0, offset=0
[reader] read_next: tail OK col=audit, block_id=2, consumed=160, new_tail_off=160
[reader] read_next start: col=audit, chain_len=0, idx=0, offset=0
[reader] read_next: tail OK col=audit, block_id=2, consumed=160, new_tail_off=320
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673857, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 2
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751
[reader] chain append(slow/new): col=accounts, block_id=1, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751, block_id=1, used=320, col=accounts
[reader] chain append(slow/new): col=audit, block_id=2, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673751, block_id=2, used=320, col=audit
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1/1762829673857
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673861, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 2
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755
[reader] chain append(slow/new): col=meta.critical.13, block_id=1, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755, block_id=1, used=776, col=meta.critical.13
[reader] chain append(slow/new): col=meta.critical.08, block_id=2, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673755, block_id=2, used=396, col=meta.critical.08
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpztzmzT/sql-crash-test-1-meta/1762829673861
[reader] read_next start: col=meta.critical.00, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.01, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.02, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.03, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.04, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.05, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.06, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.07, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.08, chain_len=1, idx=0, offset=0
[reader] read_next: OK col=meta.critical.08, block_id=2, consumed=396, new_offset=396
[reader] read_next start: col=meta.critical.08, chain_len=1, idx=0, offset=396
[reader] read_next: advance block col=meta.critical.08, block_id=2, offset=396, used=396
[reader] read_next start: col=meta.critical.09, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.10, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.11, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.12, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.13, chain_len=1, idx=0, offset=0
[reader] read_next: OK col=meta.critical.13, block_id=1, consumed=388, new_offset=388
[reader] read_next start: col=meta.critical.13, chain_len=1, idx=0, offset=388
[reader] read_next: OK col=meta.critical.13, block_id=1, consumed=388, new_offset=776
[reader] read_next start: col=meta.critical.13, chain_len=1, idx=0, offset=776
[reader] read_next: advance block col=meta.critical.13, block_id=1, offset=776, used=776
[reader] read_next start: col=meta.critical.14, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.15, chain_len=0, idx=0, offset=0
[reader] read_next start: col=audit, chain_len=1, idx=1, offset=0
[reader] read_next: advance block col=audit, block_id=2, offset=320, used=320
[reader] read_next start: col=accounts, chain_len=1, idx=1, offset=0
[reader] read_next: advance block col=accounts, block_id=1, offset=320, used=320

thread 'sql_crash_multi_table_state_is_preserved' panicked at tests/sql_crash_recovery_tests.rs:208:9:
assertion `left == right` failed
  left: []
 right: [("a", "15")]

---- sql_crash_simple_select_persists_rows stdout ----
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673882, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 1
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673882
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673887, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 1
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673887
[reader] read_next start: col=meta.critical.00, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.01, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.02, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.03, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.04, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.05, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.06, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.07, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.08, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.09, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.10, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.11, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.12, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.13, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.14, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.15, chain_len=0, idx=0, offset=0
[alloc] handout: block_id=1, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673882, offset=0, limit=10485760
[writer] wrote: col=logs, block_id=1, offset_before=0, bytes=152, offset_after=152
[writer] immediate fsync: col=logs, block_id=1
[alloc] handout: block_id=1, file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673887, offset=0, limit=10485760
[writer] wrote: col=meta.critical.06, block_id=1, offset_before=0, bytes=380, offset_after=380
[writer] immediate fsync: col=meta.critical.06, block_id=1
writer: flushed 1 rows into table logs
[reader] read_next start: col=logs, chain_len=0, idx=0, offset=0
[reader] read_next: tail OK col=logs, block_id=1, consumed=152, new_tail_off=152
[writer] wrote: col=logs, block_id=1, offset_before=152, bytes=152, offset_after=304
[writer] immediate fsync: col=logs, block_id=1
[writer] wrote: col=meta.critical.06, block_id=1, offset_before=380, bytes=380, offset_after=760
[writer] immediate fsync: col=meta.critical.06, block_id=1
[reader] read_next start: col=logs, chain_len=0, idx=0, offset=0
[reader] read_next: tail OK col=logs, block_id=1, consumed=152, new_tail_off=304
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673944, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 2
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673882
[reader] chain append(slow/new): col=logs, block_id=1, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673882, block_id=1, used=304, col=logs
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2/1762829673944
[walrus] new
[alloc] init: created file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673948, max_file_size=1048576000B, block_size=10485760B
[recovery] scanning files: 2
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673887
[reader] chain append(slow/new): col=meta.critical.06, block_id=1, chain_len 0->1
[recovery] appended block: file=/var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673887, block_id=1, used=760, col=meta.critical.06
[recovery] file /var/folders/4p/xjzmpjd16bn9b6rhqw2kwwp80000gn/T/.tmpZghMN3/sql-crash-test-2-meta/1762829673948
[reader] read_next start: col=meta.critical.00, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.01, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.02, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.03, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.04, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.05, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.06, chain_len=1, idx=0, offset=0
[reader] read_next: OK col=meta.critical.06, block_id=1, consumed=380, new_offset=380
[reader] read_next start: col=meta.critical.06, chain_len=1, idx=0, offset=380
[reader] read_next: OK col=meta.critical.06, block_id=1, consumed=380, new_offset=760
[reader] read_next start: col=meta.critical.06, chain_len=1, idx=0, offset=760
[reader] read_next: advance block col=meta.critical.06, block_id=1, offset=760, used=760
[reader] read_next start: col=meta.critical.07, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.08, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.09, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.10, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.11, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.12, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.13, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.14, chain_len=0, idx=0, offset=0
[reader] read_next start: col=meta.critical.15, chain_len=0, idx=0, offset=0
[reader] read_next start: col=logs, chain_len=1, idx=1, offset=0
[reader] read_next: advance block col=logs, block_id=1, offset=304, used=304

thread 'sql_crash_simple_select_persists_rows' panicked at tests/sql_crash_recovery_tests.rs:154:9:
assertion `left == right` failed
  left: []
 right: ["boot", "ready"]


failures:
    sql_crash_multi_table_state_is_preserved
    sql_crash_multiple_rounds_accumulate_rows
    sql_crash_simple_select_persists_rows

test result: FAILED. 0 passed; 3 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.31s

